Symbol,StockName,Sector,Currency
C13.SI,CH OFFSHORE LTD ,Energy,USD
G92.SI,CHINA AVIATION OIL S) CORP LTD ,Energy,USD
B9S.SI,COSMOSTEEL HOLDINGS LIMITED ,Energy,SGD
594.SI,CWX GLOBAL LIMITED ,Energy,USD
NO4.SI,DYNA-MAC HOLDINGS LTD. ,Energy,SGD
UQ4.SI,EMAS OFFSHORE LIMITED ,Energy,SGD
5ME.SI,EZION HOLDINGS LIMITED ,Energy,USD
5DN.SI,EZRA HOLDINGS LIMITED ,Energy,USD
5FL.SI,FALCON ENERGY GROUP LIMITED ,Energy,SGD
RE4.SI,GEO ENERGY RESOURCES LIMITED ,Energy,USD
AUE.SI,GOLDEN ENERGY AND RESOURCESLTD ,Energy,USD
BLH.SI,HAI LECK HOLDINGS LIMITED ,Energy,SGD
5OR.SI,HEATEC JIETONG HOLDINGS LTD. ,Energy,SGD
5PD.SI,HENGYANG PETROCHEM LOG LIMITED ,Energy,SGD
510.SI,HIAP SENG ENGINEERING LTD ,Energy,SGD
5TN.SI,IEV HOLDINGS LIMITED ,Energy,SGD
5GI.SI,INTERRA RESOURCES LIMITED ,Energy,USD
FQ7.SI,JASPER INVESTMENTS LIMITED ,Energy,SGD
5G2.SI,KIMHENG OFFSHORE&MARINE HLDLTD ,Energy,SGD
SK3.SI,KRISENERGY LTD. ,Energy,USD
BRE.SI,LINC ENERGY LTD ,Energy,SGD
41S.SI,MAGNUS ENERGY GROUP LTD. ,Energy,SGD
5NF.SI,MENCAST HOLDINGS LTD. ,Energy,SGD
DU4.SI,MERMAID MARITIME PUBLIC CO LTD ,Energy,THB
AWO.SI,MIRACH ENERGY LIMITED ,Energy,USD
M05.SI,MTQ CORPORATION LIMITED ,Energy,SGD
42D.SI,NAUTICAWT LIMITED ,Energy,SGD
BMT.SI,NEW SILKROUTES GROUP LIMITED ,Energy,USD
AJ2.SI,OUHUA ENERGY HOLDINGS LIMITED ,Energy,SGD
U6C.SI,PACC OFFSHORE SVCS HLDG LTD. ,Energy,USD
T8V.SI,PACIFIC RADIANCE LTD ,Energy,USD
5MM.SI,RESOURCES PRIMA GROUP LIMITED ,Energy,USD
5WH.SI,REX INTERNATIONAL HOLDING LTD ,Energy,SGD
T13.SI,RH PETROGAS LIMITED ,Energy,USD
C9Q.SI,SINOSTAR PEC HOLDINGS LIMITED ,Energy,CNY
BGK.SI,SWIBER HOLDINGS LIMITED ,Energy,USD
ADP.SI,SWISSCO HOLDINGS LIMITED ,Energy,USD
5CQ.SI,TECHNICS OIL & GAS LIMITED ,Energy,USD
BGO.SI,UNIVERSAL RESOURCE & SVCS LTD ,Energy,SGD
BRS.SI,USP GROUP LIMITED ,Energy,SGD
WPC.SI,VALLIANZ HOLDINGS LTD ,Energy,SGD
557.SI,VIKING OFFSHORE AND MARINE LTD ,Energy,SGD
1I5.SI,AYONDO LTD. ,Financials,SGD
CJN.SI,BRITISH & MALAYAN HLDG LIMITED ,Financials,SGD
D05.SI,DBS GROUP HOLDINGS LTD ,Financials,SGD
D8DU.SI,FIRST SHIP LEASE TRUST ,Financials,USD
I5H.SI,FORISE INTERNATIONAL LIMITED ,Financials,CNY
B73.SI,GLOBAL INVESTMENTS LIMITED ,Financials,SGD
G07.SI,GREAT EASTERN HLDGS LTD ,Financials,SGD
S41.SI,HONG LEONG FINANCE LIMITED ,Financials,SGD
BLS.SI,HOTUNG INVESTMENT HLDGS LTD ,Financials,SGD
AIY.SI,IFAST CORPORATION LTD. ,Financials,SGD
I49.SI,IFS CAPITAL LIMITED ,Financials,SGD
I26.SI,INNOPAC HOLDINGS LIMITED ,Financials,USD
E9L.SI,JOYAS INTERNATIONAL HLDGS LTD ,Financials,SGD
N14.SI,M DEVELOPMENT LTD. ,Financials,USD
5UF.SI,MAXI-CASH FIN SVCS CORP LTD ,Financials,SGD
5QY.SI,NET PACIFIC FIN HLDGS LTD ,Financials,SGD
N33.SI,"NOMURA HOLDINGS, INC ",Financials,USD
O39.SI,OVERSEA-CHINESE BANKING CORP ,Financials,SGD
P15.SI,PACIFIC CENTURY REGIONAL DEVTS ,Financials,SGD
ADJ.SI,PINE CAPITAL GROUP LIMITED ,Financials,SGD
K6S.SI,PRUDENTIAL PLC ,Financials,USD
5EC.SI,REENOVA INVESTMENT HOLDING LIMITED ,Financials,SGD
S35.SI,SING INVESTMENTS & FINANCE LTD ,Financials,SGD
S68.SI,SINGAPORE EXCHANGE LIMITED ,Financials,SGD
S49.SI,SINGAPORE REINSURANCE COR LTD ,Financials,SGD
S23.SI,SINGAPURA FINANCE LTD ,Financials,SGD
42T.SI,THE TRENDLINES GROUP LTD. ,Financials,SGD
T55.SI,TIH LIMITED ,Financials,SGD
CHJ.SI,UNI-ASIA GROUP LIMITED ,Financials,USD
U11.SI,UNITED OVERSEAS BANK LTD ,Financials,SGD
U13.SI,UNITED OVERSEAS INSURANCE LTD ,Financials,SGD
U10.SI,UOB-KAY HIAN HOLDINGS LIMITED ,Financials,SGD
T6I.SI,VALUEMAX GROUP LIMITED ,Financials,SGD
MIJ.SI,ALLIANCE HEALTHCARE GROUP LTD ,Healthcare,SGD
1D4.SI,AOXIN Q & M DENTAL GRP LIMITED ,Healthcare,SGD
505.SI,ASIAMEDIC LIMITED ,Healthcare,SGD
1J3.SI,ASIAN HEALTHCARE SPECIALISTS ,Healthcare,SGD
8YY.SI,BIOLIDICS LIMITED ,Healthcare,SGD
1H3.SI,CLEARBRIDGE HEALTH LIMITED ,Healthcare,SGD
P8A.SI,CORDLIFE GROUP LIMITED ,Healthcare,SGD
H02.SI,HAW PAR CORP LTD ,Healthcare,SGD
1B1.SI,HC SURGICAL SPECIALISTSLIMITED ,Healthcare,SGD
588.SI,HEALTH MANAGEMENT INTL LTD ,Healthcare,MYR
5NG.SI,HEALTHWAY MEDICAL CORP LTD ,Healthcare,SGD
1J5.SI,HYPHENS PHARMA INTL LIMITED ,Healthcare,SGD
Q0F.SI,IHH HEALTHCARE BERHAD ,Healthcare,MYR
40T.SI,ISEC HEALTHCARE LTD. ,Healthcare,SGD
42C.SI,IX BIOPHARMA LTD. ,Healthcare,SGD
O6Z.SI,LONZA GROUP LTD ,Healthcare,SGD
OTX.SI,MEDINEX LIMITED ,Healthcare,SGD
546.SI,MEDTECS INTERNATIONAL CORP LTD ,Healthcare,SGD
5WA.SI,OUE LIPPO HEALTHCARE LTD ,Healthcare,SGD
BFK.SI,PHARMESIS INTERNATIONAL LTD. ,Healthcare,CNY
QC7.SI,Q & M DENTAL GROUP ,Healthcare,SGD
5I0.SI,QT VASCULAR LTD. ,Healthcare,USD
BSL.SI,RAFFLES MEDICAL GROUP LTD ,Healthcare,SGD
RF1U.SI,RHT HEALTH TRUST ,Healthcare,SGD
5OT.SI,SINGAPORE MEDICAL GROUP LTD ,Healthcare,SGD
1D8.SI,SINGAPORE O&G LTD. ,Healthcare,SGD
AYL.SI,STAR PHARMACEUTICAL LIMITED ,Healthcare,CNY
5G3.SI,TALKMED GROUP LIMITED ,Healthcare,SGD
T14.SI,TIANJIN ZHONG XIN PHARM GROUP ,Healthcare,CNY
BVA.SI,TOP GLOVE CORPORATION BHD ,Healthcare,SGD
41A.SI,UG HEALTHCARE CORPORATION LTD ,Healthcare,SGD
569.SI,VICPLAS INTERNATIONAL LTD ,Healthcare,SGD
T43.SI,YUNNAN ENERGY INTL CO. LIMITED ,Healthcare,SGD
BQC.SI,A-SMART HOLDINGS LTD. ,Industrials,SGD
BTJ.SI,A-SONIC AEROSPACE LIMITED ,Industrials,SGD
L5I.SI,ABTERRA LTD ,Industrials,SGD
541.SI,ABUNDANCE INTERNATIONAL LTD ,Industrials,SGD
QZG.SI,ACCRELIST LTD ,Industrials,SGD
5FW.SI,ACESIAN PARTNERS LIMITED ,Industrials,SGD
AYV.SI,ACMA LTD. ,Industrials,SGD
43F.SI,ACROMEC LIMITED ,Industrials,SGD
43Q.SI,ADVANCER GLOBAL LIMITED ,Industrials,SGD
AWG.SI,AEI CORPORATION LTD ,Industrials,SGD
A13.SI,ALLIED TECHNOLOGIES LIMITED ,Industrials,SGD
BTX.SI,ANCHUN INTERNATIONAL HLDGS LTD ,Industrials,SGD
A55.SI,ASIA ENTERPRISES HOLDING LTD ,Industrials,SGD
585.SI,ASIAN MICRO HOLDINGS LTD ,Industrials,SGD
5CR.SI,ASIATIC GROUP ,Industrials,SGD
A04.SI,ASL MARINE HOLDINGS LTD ,Industrials,SGD
5GJ.SI,AUSGROUP LIMITED ,Industrials,AUD
O2I.SI,AVIC INTL MARITIME HLDGLIMITED ,Industrials,SGD
42U.SI,AXCELASIA INC. ,Industrials,SGD
KJ5.SI,BBR HOLDINGS ,Industrials,SGD
BEZ.SI,BENG KUANG MARINE LIMITED ,Industrials,SGD
BQN.SI,BH GLOBAL CORPORATION LIMITED ,Industrials,SGD
A33.SI,BLUMONT GROUP LTD. ,Industrials,SGD
5VI.SI,BOLDTEK HOLDINGS LIMITED ,Industrials,SGD
B28.SI,BONVESTS HOLDINGS LTD ,Industrials,SGD
AVM.SI,BOUSTEAD PROJECTS LIMITED ,Industrials,SGD
F9D.SI,BOUSTEAD SINGAPORE LIMITED ,Industrials,SGD
